path,present,tracked,size,category,approved,reference_count,runtime_success_count,last_git_change,rationale
.env,true,false,790,SECRET,false,0,0,,credential-like path; keep outside Git and runtime logs
.env.example,true,true,1873,SECRET,false,0,0,2026-07-28T16:56:34+08:00,credential-like path; keep outside Git and runtime logs
.gitignore,true,true,2049,KEEP,false,0,0,2026-07-28T16:56:34+08:00,"belongs to a current application, domain, configuration or documentation path"
.tmp/default-port-v3-response.json,true,false,81206,DELETE_CANDIDATE,false,0,0,,untracked and without a current reference or runtime signal; manual review required
.tmp/dekeli-v3-model-report-v18/stock_deep_dive_model.md,true,false,24944,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v18/synthesis-result.json,true,false,893,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v19/stock_deep_dive_model.md,true,false,24944,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v19/synthesis-result.json,true,false,1689,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v20/stock_deep_dive_model.md,true,false,24944,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v20/synthesis-result.json,true,false,872,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v21/stock_deep_dive_model.md,true,false,31576,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v21/synthesis-result.json,true,false,853,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v22/stock_deep_dive_candidate.md,true,false,31576,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v22/stock_deep_dive_model.md,true,false,34307,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v22/synthesis-result.json,true,false,829,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v23/stock_deep_dive_candidate.md,true,false,42139,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v23/stock_deep_dive_model.md,true,false,42581,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v23/synthesis-result.json,true,false,870,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v24/stock_deep_dive_candidate.md,true,false,42139,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v24/stock_deep_dive_model.md,true,false,41144,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v24/synthesis-result.json,true,false,829,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v25/stock_deep_dive_candidate.md,true,false,42139,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v25/stock_deep_dive_model.md,true,false,41144,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-model-report-v25/synthesis-result.json,true,false,829,KEEP,false,1,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-workflow-artifacts-v10/dekeli-v3-real-workflow-20260724-v10/research_audit.json,true,false,12779,KEEP,false,5,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-workflow-artifacts-v10/dekeli-v3-real-workflow-20260724-v10/research_packet.json,true,false,373102,KEEP,false,9,0,,has a code/config reference or recent runtime evidence
.tmp/dekeli-v3-workflow-artifacts-v10/dekeli-v3-real-workflow-20260724-v10/stock_deep_dive.md,true,false,24685,KEEP,false,9,0,,has a code/config reference or recent runtime evidence
